# model,type,usd_per_mtok
# model = exact value of the `model` label as the agent reports it (see the Model dropdown / "Unpriced models" panel).
# type  = input | output | cache_read | cache_write | reasoning | tool  (the gateway's unified token types)
# usd_per_mtok = USD per one million tokens. Lines starting with # are ignored.
# Seeded from public list prices as of 2026-09; verify against your provider / contract and edit freely.
#
# --- Anthropic (Claude Code, Pi, OpenCode) --------------------------------
claude-fable-5-1,input,10
claude-fable-5-1,output,50
claude-fable-5-1,cache_read,1
claude-fable-5-1,cache_write,12.5
claude-fable-5-1,reasoning,50
claude-opus-5,input,5
claude-opus-5,output,25
claude-opus-5,cache_read,0.5
claude-opus-5,cache_write,6.25
claude-opus-5,reasoning,25
claude-sonnet-5,input,2
claude-sonnet-5,output,10
claude-sonnet-5,cache_read,0.2
claude-sonnet-5,cache_write,2.5
claude-sonnet-5,reasoning,10
claude-haiku-4-5-20251001,input,1
claude-haiku-4-5-20251001,output,5
claude-haiku-4-5-20251001,cache_read,0.1
claude-haiku-4-5-20251001,cache_write,1.25
claude-haiku-4-5-20251001,reasoning,5
# --- OpenAI (Codex) ------------------------------------------------------
gpt-5.5,input,5
gpt-5.5,output,30
gpt-5.5,cache_read,0.5
gpt-5.5,reasoning,30
gpt-5.5-pro,input,30
gpt-5.5-pro,output,180
gpt-5.5-pro,cache_read,3
gpt-5.5-pro,reasoning,180
# --- Google (Gemini CLI, Antigravity) ------------------------------------
gemini-3.1-pro,input,2
gemini-3.1-pro,output,12
gemini-3.1-pro,cache_read,0.2
gemini-3.1-pro,reasoning,12
gemini-3.5-flash,input,0.75
gemini-3.5-flash,output,3.75
gemini-3.5-flash,cache_read,0.075
gemini-3.5-flash,reasoning,3.75
gemini-3.8-flash,input,0.75
gemini-3.8-flash,output,3.75
gemini-3.8-flash,cache_read,0.075
gemini-3.8-flash,reasoning,3.75
# --- free / flat-rate models: price 0 so they show as priced, not missing ---
big-pickle,input,0
big-pickle,output,0
big-pickle,cache_read,0
big-pickle,cache_write,0
big-pickle,reasoning,0
